longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
-119.7,34.43,35,1402,369.0,654,385,2.6205,<1H OCEAN,317781.07
-117.15,34.22,10,1039,174.0,317,109,7.2371,INLAND,256121.0
-118.37,33.87,18,2516,485.0,1128,433,5.0114,<1H OCEAN,330146.0
-118.01,33.85,29,3061,612.0,2396,640,4.6326,<1H OCEAN,203718.0
-122.32,37.94,47,1911,283.0,697,275,6.2712,NEAR BAY,344639.05
-117.96,33.94,34,2228,399.0,1159,378,4.8906,<1H OCEAN,204699.0
-117.96,34.14,33,1994,405.0,993,403,3.766,INLAND,166677.0
-117.55,34.0,17,3583,700.0,1587,719,2.6979,INLAND,117593.0
-122.28,37.86,41,2214,550.0,1213,568,2.2845,NEAR BAY,168793.0
-117.43,34.07,18,2453,537.0,1503,500,2.3768,INLAND,112013.0
-117.21,33.34,10,5294,817.0,2312,810,5.4563,<1H OCEAN,312336.04
-120.68,37.47,33,1028,226.0,658,197,2.3043,INLAND,104329.0
-122.83,38.96,15,1318,296.0,567,276,1.8692,INLAND,84984.0
-122.22,37.37,26,440,202.0,322,218,5.1831,NEAR OCEAN,390447.25
-116.87,32.75,15,2053,321.0,993,309,5.5164,<1H OCEAN,191118.0
-118.39,33.79,30,4402,563.0,1582,551,10.898,NEAR OCEAN,500001.0
-117.13,32.74,46,3355,768.0,1457,708,2.6604,NEAR OCEAN,169902.0
-122.45,37.74,38,5688,930.0,2263,908,6.203,NEAR BAY,408891.22
-122.47,38.29,14,3732,846.0,1277,775,2.5658,NEAR BAY,198848.0
-122.54,37.95,38,2310,400.0,971,386,5.697,NEAR BAY,394298.06
-123.1,38.79,20,3109,712.0,1643,638,2.8344,<1H OCEAN,140670.0
-117.07,32.56,9,3648,895.0,3293,840,3.0992,NEAR OCEAN,160842.0
-118.43,34.08,46,778,90.0,238,93,15.0001,<1H OCEAN,474724.7
-122.05,36.97,16,3363,611.0,1603,556,4.2542,NEAR OCEAN,274273.0
-122.25,37.49,43,2607,477.0,1225,461,4.224,NEAR OCEAN,348090.0
-117.87,34.14,30,2495,586.0,1139,559,2.9375,INLAND,169888.0
-118.2,34.05,42,1703,586.0,2490,581,2.02,<1H OCEAN,150695.0
-121.32,37.94,36,40,10.0,64,14,2.625,INLAND,210028.25
-120.96,38.66,11,2339,436.0,1062,380,3.9036,INLAND,159984.0
-120.43,34.96,24,2739,414.0,1171,413,4.8155,<1H OCEAN,216790.0
-122.28,37.9,52,2003,250.0,658,244,10.0825,NEAR BAY,494135.93
-122.0,37.08,17,4154,739.0,2149,693,5.5919,NEAR OCEAN,306484.03
-118.34,33.87,34,1069,217.0,601,212,4.6406,<1H OCEAN,293076.0
-118.52,34.21,36,1328,287.0,823,273,4.5648,<1H OCEAN,210340.0
-118.22,34.09,42,1706,488.0,1941,447,2.5213,<1H OCEAN,151618.0
-118.27,34.1,51,3149,519.0,1082,510,6.4459,<1H OCEAN,459101.41
-117.58,34.02,4,5998,1092.0,3182,1042,5.2692,INLAND,177346.0
-118.22,34.08,31,394,117.0,573,131,1.8173,<1H OCEAN,140774.0
-121.78,36.93,21,2794,662.0,2236,565,2.4053,<1H OCEAN,168689.0
-117.36,33.18,39,1546,291.0,833,308,2.8893,NEAR OCEAN,233176.0
-119.01,35.36,24,1941,484.0,1277,435,1.056,INLAND,54695.0
-117.81,34.11,21,3481,808.0,1866,746,3.6201,INLAND,172606.0
-118.1,34.02,33,1143,172.0,508,174,4.9107,<1H OCEAN,199995.0
-117.03,32.96,16,3424,698.0,1940,645,4.121,<1H OCEAN,177363.0
-122.23,39.75,16,2026,396.0,1031,382,1.9375,INLAND,82007.0
-121.96,37.1,20,922,155.0,361,135,6.3617,<1H OCEAN,313807.01
-121.06,39.04,15,1999,287.0,585,246,5.5161,INLAND,194261.0
-118.1,34.09,46,2822,525.0,1434,520,3.8906,<1H OCEAN,241884.0
-118.32,33.95,44,2131,360.0,1040,330,5.0912,<1H OCEAN,230413.02
-122.21,37.44,35,1140,193.0,486,199,4.6908,NEAR OCEAN,327546.17
-118.19,34.1,39,2054,423.0,1205,403,4.239,<1H OCEAN,209278.0
-122.38,40.09,16,2077,388.0,1155,389,3.1361,INLAND,105666.0
-117.3,33.06,31,2128,520.0,1049,485,4.027,NEAR OCEAN,357480.26
-122.13,37.71,44,1421,298.0,609,270,3.5781,NEAR BAY,190889.0
-118.29,33.98,44,2261,555.0,1348,455,1.9125,<1H OCEAN,109897.0
-121.53,39.52,30,1030,161.0,448,159,2.4821,INLAND,71449.0
-120.47,34.65,16,2549,428.0,1486,432,4.2875,NEAR OCEAN,176476.0
-118.3,34.0,52,1718,354.0,1026,312,2.0,<1H OCEAN,115600.0
-118.22,33.8,33,1984,477.0,1764,440,3.875,NEAR OCEAN,192434.05
-118.27,33.97,39,2569,688.0,2601,630,2.0754,<1H OCEAN,107355.0
-118.34,34.06,52,1311,310.0,707,290,3.4812,<1H OCEAN,378049.05
-119.21,34.18,13,6103,1319.0,2986,1212,3.9718,NEAR OCEAN,240245.04
-117.83,33.81,24,3550,895.0,2828,834,2.8403,<1H OCEAN,176088.0
-118.85,34.18,11,5873,1455.0,3089,1365,3.5504,<1H OCEAN,223061.0
-118.37,36.19,10,443,111.0,48,21,3.125,INLAND,83014.0
-121.85,37.39,15,8748,1547.0,4784,1524,5.8322,<1H OCEAN,272264.01
-118.37,33.85,25,5622,998.0,2537,1009,5.785,<1H OCEAN,326077.01
-118.96,35.37,32,1025,259.0,874,236,1.9612,INLAND,55351.0
-120.64,35.65,9,3466,673.0,2356,619,2.9926,<1H OCEAN,158485.0
-118.41,34.19,42,779,145.0,450,148,3.9792,<1H OCEAN,205200.0
-122.53,37.95,22,7446,1979.0,2980,1888,3.5838,NEAR BAY,259618.02
-117.33,34.15,28,1473,333.0,1196,312,1.6993,INLAND,74590.0
-117.23,33.57,6,13724,2269.0,5860,1986,3.9617,<1H OCEAN,184966.01
-120.44,37.28,12,2855,598.0,1658,586,2.3929,INLAND,94429.0
-117.2,33.7,23,6323,1196.0,1984,1124,2.3276,<1H OCEAN,131747.0
-121.34,38.64,12,2772,578.0,1335,565,3.8068,INLAND,148106.0
-117.28,34.12,36,2991,822.0,2378,751,1.3571,INLAND,71321.0
-119.48,36.5,32,3451,625.0,1968,574,2.9554,INLAND,75770.0
-122.04,37.04,17,4977,994.0,1987,947,3.8854,NEAR OCEAN,263486.04
-118.45,34.03,39,1657,402.0,931,363,3.7813,<1H OCEAN,377187.23
-117.47,33.92,18,3869,773.0,2500,726,3.6583,INLAND,127216.0
-121.94,37.75,16,5121,735.0,2464,761,6.6204,<1H OCEAN,316556.03
-117.28,34.51,10,4676,884.0,2845,812,3.0181,INLAND,99668.0
-120.95,35.44,30,6346,1410.0,1769,887,2.6864,NEAR OCEAN,232323.0
-117.9,33.97,23,7353,1255.0,4014,1124,5.4155,<1H OCEAN,262267.0
-120.77,38.38,15,4221,816.0,1737,743,2.3125,INLAND,118235.0
-116.93,32.8,19,1867,538.0,1219,468,2.0685,<1H OCEAN,125358.0
-118.13,33.81,34,1903,343.0,928,349,5.395,<1H OCEAN,253647.0
-117.4,33.95,46,2189,423.0,866,389,3.1384,INLAND,121957.0
-122.07,37.96,34,1692,290.0,836,289,5.0172,NEAR BAY,207705.0
-123.71,39.88,42,1518,383.0,656,303,1.4952,NEAR OCEAN,98204.0
-122.72,38.58,4,7042,1100.0,2936,1043,5.0555,<1H OCEAN,219658.0
-117.77,33.72,9,2153,316.0,954,324,7.8139,<1H OCEAN,349884.0
-117.93,34.07,34,1409,305.0,819,273,3.3977,<1H OCEAN,199051.0
-118.41,34.07,52,1202,142.0,408,138,15.0001,<1H OCEAN,500001.0
-120.07,36.97,28,1563,403.0,1564,408,1.5662,INLAND,53121.0
-119.27,36.05,29,1016,174.0,481,140,2.2917,INLAND,64566.99
-120.82,37.05,15,1385,288.0,775,255,1.933,INLAND,85238.0
-121.43,38.54,42,3321,688.0,1346,658,2.4618,INLAND,99545.0
-120.44,34.96,30,1685,315.0,1290,368,3.4722,<1H OCEAN,156192.0
-120.35,37.95,13,2104,407.0,960,401,2.4,INLAND,108852.0
-118.17,33.95,23,1991,584.0,1380,535,1.9107,<1H OCEAN,162295.0
-121.57,39.5,31,2023,469.0,1073,436,1.5714,INLAND,56115.0
-117.82,33.88,18,1982,300.0,1027,324,7.0526,<1H OCEAN,277871.0
-121.9,37.44,4,1646,408.0,853,410,5.0821,<1H OCEAN,225037.0
-121.45,38.54,38,1865,384.0,1052,354,1.7891,INLAND,68419.0
-119.81,36.83,19,6789,1200.0,2325,1109,4.049,INLAND,124260.0
-118.36,33.8,34,2629,369.0,966,375,10.1241,NEAR OCEAN,497140.96
-117.68,33.59,8,2327,263.0,899,236,14.9009,<1H OCEAN,487910.42
-118.04,33.88,17,4807,838.0,3059,853,5.7619,<1H OCEAN,284785.01
-118.43,34.01,41,1527,279.0,746,285,6.4232,<1H OCEAN,432510.34
-122.71,38.5,15,5645,830.0,2324,769,6.6104,<1H OCEAN,332427.04
-121.83,36.6,30,2748,502.0,1491,535,4.3472,<1H OCEAN,222824.0
-120.82,35.31,16,3924,699.0,1325,638,2.5172,NEAR OCEAN,209737.01
-120.06,36.95,24,646,134.0,454,149,2.125,INLAND,66393.97
-122.14,37.68,31,3184,716.0,1561,628,2.7955,NEAR BAY,168736.0
-116.46,33.78,25,1137,414.0,604,240,1.3801,INLAND,81979.0
-121.09,38.19,23,762,140.0,358,141,2.4545,INLAND,109832.0
-121.32,38.57,15,3369,499.0,1733,470,5.31,INLAND,182150.0
-120.99,37.66,30,1718,395.0,914,400,1.933,INLAND,91403.0
-122.22,37.79,37,2343,574.0,1608,523,2.1494,NEAR BAY,127914.0
-122.47,37.78,52,2169,522.0,1220,505,3.1989,NEAR BAY,420823.06
-117.91,33.61,40,2790,531.0,952,424,4.8,<1H OCEAN,436563.44
-121.53,39.06,20,561,109.0,308,114,3.3021,INLAND,109633.0
-117.04,32.83,8,2205,348.0,777,341,6.0266,<1H OCEAN,287928.05
-118.13,34.11,52,2568,345.0,1102,345,9.1373,<1H OCEAN,489728.8
-122.32,38.06,4,7999,1611.0,3596,1396,5.0969,NEAR BAY,197844.0
-121.73,37.68,17,20354,3493.0,8768,3293,5.4496,INLAND,231239.0
-118.98,35.4,36,1864,331.0,1052,325,3.4205,INLAND,82265.0
-121.9,37.25,28,2714,502.0,1389,490,5.7385,<1H OCEAN,307257.03
-121.3,38.69,13,2135,429.0,779,432,3.6995,INLAND,131418.0
-115.64,32.75,19,377,69.0,198,55,1.625,INLAND,70874.0
-117.89,33.76,34,1050,210.0,723,201,4.8,<1H OCEAN,187094.0
-118.36,33.92,46,1231,231.0,793,256,4.1023,<1H OCEAN,208285.0
-117.06,32.58,11,2879,679.0,2098,673,3.5125,NEAR OCEAN,131457.0
-115.49,32.67,25,2322,573.0,2185,602,1.375,INLAND,68091.0
-117.31,34.09,34,1336,345.0,1009,311,1.608,INLAND,72127.0
-121.03,39.21,28,2843,535.0,1310,525,3.2337,INLAND,154436.0
-117.05,32.72,35,1777,369.0,1158,353,3.4107,NEAR OCEAN,132292.0
-117.95,33.92,18,2825,660.0,1590,643,3.6106,<1H OCEAN,184193.0
-119.01,35.31,19,7092,1517.0,4101,1436,2.1006,INLAND,72076.99
-119.17,34.27,18,8010,1539.0,3982,1483,4.0905,NEAR OCEAN,237835.0
-118.07,34.14,42,3200,685.0,1668,628,3.375,INLAND,238176.0
-122.23,38.1,46,4143,895.0,2240,847,2.4201,NEAR BAY,123634.0
-117.75,34.06,52,62,9.0,44,16,0.4999,INLAND,336175.42
-118.27,33.81,42,865,208.0,811,218,3.8621,<1H OCEAN,174805.0
-121.32,38.0,21,1795,482.0,1114,472,2.0091,INLAND,97158.0
-118.99,36.06,19,2153,458.0,1317,386,1.7564,INLAND,58665.0
-122.37,40.54,28,2213,390.0,1096,378,3.6923,INLAND,107439.0
-120.39,37.98,52,1056,274.0,584,255,2.1513,INLAND,101247.0
-118.33,34.11,48,1601,464.0,784,461,3.0642,<1H OCEAN,295212.03
-118.08,33.89,37,1152,259.0,981,225,3.2857,<1H OCEAN,166429.0
-117.25,33.36,6,3725,960.0,2833,915,2.3214,<1H OCEAN,157988.01
-119.15,36.29,18,1435,,657,254,2.4281,INLAND,78788.0
-117.63,33.94,36,447,95.0,2886,85,4.2578,INLAND,204517.11
-118.55,34.19,18,5862,,3161,1280,3.1106,<1H OCEAN,219488.01
-117.89,33.71,16,1591,225.0,926,239,6.2452,<1H OCEAN,259264.0
-117.69,33.66,5,4246,689.0,1933,722,6.9501,<1H OCEAN,304714.01
-118.35,33.88,25,1459,362.0,1150,354,3.35,<1H OCEAN,248177.0
-118.09,34.16,45,2199,358.0,942,353,5.0393,INLAND,329495.0
-121.05,39.11,7,2767,423.0,1143,382,3.6333,INLAND,172759.0
-118.21,34.1,40,1684,316.0,795,330,5.2723,<1H OCEAN,316842.01
-119.04,36.07,17,2623,659.0,1912,618,1.5893,INLAND,61371.0
-117.3,34.15,33,1607,282.0,608,260,4.3438,INLAND,139536.0
-117.75,34.06,44,477,135.0,502,117,2.0156,INLAND,100954.0
-114.61,33.62,16,1187,261.0,1115,242,2.1759,INLAND,62195.0
-117.61,34.13,21,8416,1386.0,4308,1341,4.4611,INLAND,171583.0
-118.11,34.05,23,3436,565.0,1729,529,5.9941,<1H OCEAN,292483.04
-118.95,35.26,24,1341,214.0,667,184,4.0,INLAND,97621.0
-118.35,33.9,25,3309,902.0,2299,837,3.0417,<1H OCEAN,210788.0
-122.89,38.93,20,1214,247.0,504,223,2.7188,<1H OCEAN,181476.0
-121.89,36.6,40,626,164.0,337,150,2.7917,<1H OCEAN,225257.0
-118.31,34.26,34,1797,363.0,948,363,4.1339,<1H OCEAN,230153.01
-122.01,37.25,31,1574,193.0,551,191,10.2311,<1H OCEAN,499260.99
-118.37,34.04,43,888,170.0,514,161,3.1827,<1H OCEAN,259527.01
-117.19,32.76,52,1294,175.0,434,180,5.7914,NEAR OCEAN,341089.09
-119.71,36.8,17,2056,366.0,1259,367,3.9338,INLAND,90403.0
-117.28,34.68,28,1932,421.0,1156,404,1.8958,INLAND,85880.0
-120.84,35.32,15,2419,538.0,1279,522,3.4762,NEAR OCEAN,225148.0
-118.13,34.02,43,396,91.0,261,73,2.9044,<1H OCEAN,171540.01
-117.02,33.6,7,1972,352.0,964,317,3.244,INLAND,141003.0
-116.97,32.76,33,3071,466.0,1348,513,6.1768,<1H OCEAN,333095.05
-117.71,33.61,26,3046,726.0,888,663,2.6848,<1H OCEAN,133567.0
-121.58,39.79,19,2636,523.0,1184,465,2.7863,INLAND,98728.0
-118.24,34.15,19,4852,1465.0,3171,1332,2.5924,<1H OCEAN,223916.0
-122.68,38.44,29,2796,588.0,1346,562,2.9107,<1H OCEAN,181136.0
-118.14,33.84,43,2107,439.0,876,429,3.2024,<1H OCEAN,213225.0
-117.88,34.1,32,3357,621.0,1696,604,4.2685,<1H OCEAN,194378.0
-117.67,33.44,25,2994,519.0,903,410,6.6852,<1H OCEAN,298298.04
-120.47,34.64,16,1912,406.0,1009,417,3.4063,NEAR OCEAN,191614.0
-122.22,37.47,23,7740,1943.0,4124,1743,3.3268,NEAR OCEAN,290023.07
-122.25,37.86,52,1709,318.0,719,295,5.0463,NEAR BAY,313490.03
-118.11,34.06,30,1547,436.0,1700,410,2.5488,<1H OCEAN,174853.0
-122.2,39.52,39,2551,482.0,1181,437,2.0625,INLAND,66761.0
-119.9,36.58,20,1935,363.0,1319,359,2.4814,INLAND,68582.0
-118.26,33.79,42,1162,264.0,1044,241,3.5488,<1H OCEAN,167050.0
-122.51,37.53,17,1574,262.0,672,241,7.2929,NEAR OCEAN,391107.26
-118.37,33.93,46,442,88.0,255,94,4.4474,<1H OCEAN,249662.01
-118.31,33.99,48,2235,433.0,1363,433,1.6559,<1H OCEAN,108465.0
-117.94,33.65,15,2016,443.0,1015,419,5.2732,<1H OCEAN,240832.0
-118.46,34.0,44,941,230.0,493,206,3.6458,<1H OCEAN,352770.04
-122.33,37.95,46,1543,339.0,777,322,4.0927,NEAR BAY,153490.01
-117.67,34.05,6,2833,628.0,1717,589,3.2062,INLAND,133452.0
-118.05,33.94,34,495,120.0,527,130,1.9453,<1H OCEAN,139200.0
-118.27,33.89,32,1969,397.0,1349,370,4.4659,<1H OCEAN,178217.0
-117.16,33.57,2,20391,3245.0,7132,2716,3.9443,<1H OCEAN,192710.02
-118.46,34.03,27,1965,631.0,1042,596,2.75,<1H OCEAN,346657.03
-122.44,37.77,52,5604,1268.0,2023,1196,4.4085,NEAR BAY,463325.63
-122.03,37.6,24,2077,383.0,1488,389,4.5721,NEAR BAY,217905.02
-117.96,34.71,32,3511,646.0,1733,510,3.46,INLAND,101179.0
-117.83,34.01,16,9446,1650.0,4911,1534,5.0111,<1H OCEAN,254639.0
-118.62,34.2,29,2421,402.0,1120,388,5.0309,<1H OCEAN,241917.01
-121.45,38.62,37,1534,315.0,1147,322,2.5643,INLAND,81528.0
-122.48,37.71,39,3615,632.0,1571,615,5.1149,NEAR OCEAN,326146.04
-123.22,39.15,45,1348,265.0,639,270,3.3667,<1H OCEAN,121983.0
-122.11,37.39,36,1660,261.0,655,249,6.3967,NEAR BAY,408618.18
-117.71,33.47,17,2681,454.0,830,410,5.5507,<1H OCEAN,282241.07
-118.07,33.87,18,3405,556.0,1945,509,5.7652,<1H OCEAN,289645.01
-122.11,37.66,29,2544,643.0,2332,603,3.2091,NEAR BAY,191080.0
-117.93,34.04,30,1336,239.0,905,253,4.8854,<1H OCEAN,186543.0
-122.03,37.39,34,2600,650.0,1994,650,4.0223,<1H OCEAN,251520.01
-118.35,33.9,31,1547,,956,287,3.4698,<1H OCEAN,237177.0
-117.13,32.72,9,2436,720.0,1780,653,1.8299,NEAR OCEAN,131000.0
-121.66,36.82,17,3921,654.0,1895,641,5.0092,<1H OCEAN,253293.0
-118.13,34.05,35,3229,616.0,1879,595,3.9531,<1H OCEAN,245720.0
-118.28,34.05,41,1788,774.0,2931,702,1.4413,<1H OCEAN,170975.0
-118.17,34.1,25,4444,647.0,1922,652,8.058,<1H OCEAN,451766.48
-121.33,37.97,36,1953,492.0,999,371,2.0043,INLAND,77900.0
-117.23,32.74,16,1953,404.0,798,385,4.8167,NEAR OCEAN,249834.01
-121.29,38.6,29,1276,225.0,600,223,4.0938,INLAND,151977.0
-117.95,34.04,36,1044,200.0,982,205,4.7679,<1H OCEAN,164935.0
-121.83,36.61,26,3723,789.0,2563,747,3.4531,<1H OCEAN,202066.01
-119.21,34.26,26,2406,411.0,1313,391,4.9079,NEAR OCEAN,239397.03
-118.29,33.91,28,1501,446.0,1028,418,2.3043,<1H OCEAN,142140.0
-118.74,34.26,27,3467,545.0,1798,493,4.8717,<1H OCEAN,223973.0
-118.2,33.96,44,2144,477.0,1760,452,2.3221,<1H OCEAN,154059.0
-117.93,33.65,29,1253,375.0,1198,362,3.5179,<1H OCEAN,278702.04
-124.09,40.88,31,1982,495.0,1052,467,1.5326,NEAR OCEAN,72540.0
-121.39,38.56,19,8507,1470.0,3517,1453,4.3644,INLAND,161048.0
-117.33,34.13,30,2335,363.0,1214,311,2.2449,INLAND,84142.0
-118.75,34.33,27,534,85.0,243,77,8.2787,<1H OCEAN,420544.36
-118.1,33.93,36,1124,217.0,707,234,4.375,<1H OCEAN,178497.0
-118.49,34.25,33,2088,383.0,960,362,4.3333,<1H OCEAN,244545.0
-117.69,34.06,29,873,226.0,649,198,2.7986,INLAND,130988.0
-117.06,32.57,18,1384,311.0,1429,287,1.3362,NEAR OCEAN,104840.0
-118.46,34.29,24,3668,890.0,3151,810,3.0526,<1H OCEAN,183276.0
-121.74,38.55,33,6861,1820.0,3717,1767,1.7311,INLAND,104323.0
-116.89,33.73,15,2094,316.0,937,277,5.3623,INLAND,165411.0
-121.89,37.25,26,1741,323.0,1007,339,4.7069,<1H OCEAN,247358.0
-122.15,37.72,31,1616,372.0,739,379,2.9097,NEAR BAY,174395.01
-119.29,34.26,32,3295,764.0,1344,600,3.6007,NEAR OCEAN,259084.0
-118.19,33.89,38,4018,986.0,3702,927,2.9293,<1H OCEAN,145972.0
-117.66,34.06,24,4043,952.0,2174,859,2.2244,INLAND,134148.0
-118.06,33.8,20,1379,333.0,937,304,3.6217,<1H OCEAN,201741.0
-118.0,33.95,35,1431,210.0,505,213,6.8109,<1H OCEAN,375772.22
-117.95,33.84,18,3418,815.0,1961,773,3.65,<1H OCEAN,179517.0
-117.88,33.9,21,3180,434.0,1413,391,6.5945,<1H OCEAN,304669.03
-118.12,34.11,48,2124,319.0,785,319,5.2131,<1H OCEAN,339268.03
-120.99,37.69,25,2773,384.0,1060,381,6.4788,INLAND,236973.0
-118.37,33.91,41,1869,427.0,1334,435,3.9355,<1H OCEAN,259732.0
-121.74,36.47,28,1973,343.0,970,349,4.25,<1H OCEAN,235764.02
-122.19,37.48,35,7067,1646.0,5380,1597,4.1776,NEAR BAY,344965.24
-116.95,32.78,20,3425,448.0,1489,443,6.2552,<1H OCEAN,282830.0
-117.8,33.76,27,2655,345.0,1017,335,6.9014,<1H OCEAN,339808.0
-115.54,32.79,23,1712,403.0,1370,377,1.275,INLAND,58750.0
-118.43,34.17,35,2922,507.0,1130,485,5.451,<1H OCEAN,370058.14
-120.69,35.49,16,2666,450.0,1203,429,4.1375,<1H OCEAN,219071.01
-118.32,33.94,37,2740,504.0,1468,479,4.5368,<1H OCEAN,185473.0
-121.18,37.96,35,411,74.0,193,59,2.5625,INLAND,126429.0
-121.33,37.96,42,1619,340.0,906,339,2.5488,INLAND,79060.0
-119.95,36.96,18,1996,379.0,1327,356,2.6087,INLAND,78163.0
-118.47,34.0,42,1271,301.0,574,312,3.1304,<1H OCEAN,377577.12
-124.09,40.88,26,2683,555.0,1353,526,2.4321,NEAR OCEAN,88589.0
-117.19,33.64,12,1481,265.0,757,243,3.235,<1H OCEAN,206163.09
-120.64,40.41,50,1741,424.0,987,383,1.5066,INLAND,62663.0
-119.72,34.42,52,1759,387.0,980,402,4.0125,NEAR OCEAN,286103.0
-115.49,32.69,17,1960,389.0,1691,356,1.899,INLAND,75469.0
-118.1,34.11,49,3367,523.0,1317,495,6.706,<1H OCEAN,440337.49
-122.82,38.39,32,1437,257.0,752,245,4.7422,<1H OCEAN,254755.0
-118.34,34.12,41,3257,679.0,1237,638,4.2415,<1H OCEAN,470422.7
-118.29,34.0,44,1753,387.0,1165,380,2.1354,<1H OCEAN,115749.0
-121.44,38.73,25,1287,224.0,727,236,4.7396,INLAND,149333.0
-117.22,32.83,31,3958,727.0,1924,728,5.4605,NEAR OCEAN,264059.08
-122.63,38.26,7,7808,1390.0,3551,1392,4.6069,<1H OCEAN,221704.0
-118.17,34.18,38,1280,231.0,828,237,4.375,<1H OCEAN,221075.0
-124.17,40.79,43,2285,479.0,1169,482,1.9688,NEAR OCEAN,80954.0
-118.37,34.15,29,2630,617.0,1071,573,3.3669,<1H OCEAN,362962.02
-118.93,34.82,24,806,168.0,323,136,3.5,INLAND,117768.0
-122.24,37.47,35,2283,491.0,1148,436,4.5556,NEAR OCEAN,352497.03
-122.26,37.85,50,1120,283.0,697,264,2.125,NEAR BAY,141879.0
-118.04,33.99,36,3531,754.0,1613,697,3.2359,<1H OCEAN,195404.0
-117.92,33.92,19,2181,400.0,1272,337,5.1952,<1H OCEAN,249860.0
-116.51,33.89,21,1284,306.0,537,233,1.95,INLAND,78911.0
-117.94,33.84,25,4016,831.0,2166,774,3.1884,<1H OCEAN,193071.0
-122.07,38.24,15,7937,1635.0,4390,1567,3.5464,INLAND,156413.0
-118.25,33.93,42,657,147.0,526,132,2.5,<1H OCEAN,106762.0
-118.86,34.22,26,1932,280.0,886,289,5.0855,<1H OCEAN,284283.14
-121.47,38.72,26,1708,299.0,911,290,4.0227,INLAND,109475.0
-118.2,33.92,36,414,104.0,477,130,3.6719,<1H OCEAN,131685.0
-122.13,37.7,21,4124,1054.0,2162,998,2.6321,NEAR BAY,179670.0
-122.01,37.27,28,3825,473.0,1415,480,10.675,<1H OCEAN,500001.0
-124.08,40.94,18,1550,345.0,941,335,2.3147,NEAR OCEAN,93183.0
-118.31,34.26,36,1882,453.0,1005,409,3.8,<1H OCEAN,222010.0
-117.29,33.2,16,2150,461.0,1428,407,2.4754,NEAR OCEAN,167203.0
-117.72,33.54,13,4866,812.0,1909,733,4.9821,<1H OCEAN,272394.05
